Gene,Ensembl ID,Gene Description,Synonym,OMIM ID,Functio l Summary from Literature,Ciliary Localization,Reference,Protein complexes,Gene annotation
TTC29,ENSG00000137473,tetratricopeptide repeat domain 29 [Source:HGNC Symbol;Acc:HGNC:29936],NYD-SP14,618735,"Also known as NYD-SP14. Strongly expressed in tissues with motile cilia and flagella. Functions in cilia and flagella, most likely as an inner-arm dynein subunit. Chlamydomo s homologue encodes 44kDa subunit of axonemal dynein (17981992). Involved in functio l interaction with the IFT machinery, participating in anterograde IFT. Mutations have been associated with multiple morphological abnormalities of the flagella (31735294).","cilia, flagella",29654116; 2053481,NA,NA
TTC6,ENSG00000139865,tetratricopeptide repeat domain 6 [Source:HGNC Symbol;Acc:HGNC:19739],C14ORF25; NCR 00291,NA,Mutated in MKS. TTC6 localizes to the centrosome and ciliary shaft in controls but only to the centrosome in patient fibroblasts (32055034),"basal body, cilia",14520415; 20643117; 29126234; 30446775,NA,NA
TTC8,ENSG00000165533,tetratricopeptide repeat domain 8 [Source:HGNC Symbol;Acc:HGNC:20087],BBS8; RP51,608132,"Also known as BBS8. Component of the BBSome complex, interacts with PCM1. Mutations leads to Bardet-Biedl syndrome with randomization of left-right body axis symmetry (14520415). Role in intraciliary/flagellar transport, coordi ting the velocity of the kinesin molecular motors during anterograde transport. Interacts with Vangl2 to establish and maintain of vertebrate left-right asymmetry. It may also be responsible for maintaining normal cilium length in the KV but not cilia number (20643117). Required for the development, mainte nce and survival of photoreceptors and outer segments in both rods and cones (29126234). Knockdown reduces ciliary length and increases levels of HDAC6 (30446775).","flagella,basal body",23388454,BBSome,Ciliary function
TTK,ENSG00000112742,TTK protein ki se [Source:HGNC Symbol;Acc:HGNC:12401],CT96; MPH1; MPS1; MPS1L1,604092,Also known as MPS1. Negative regulator of ciliogenesis. Interacts with VDAC3 at the centrosome to promote ciliary disassembly during cell cycle entry and proliferation. Essential for the recruitment of Centrin 2 to the procentrioles (23388454).,cilia,20442420,NA,NA
TTLL1,ENSG00000100271,TTL family tubulin polyglutamylase complex subunit L1 [Source:HGNC Symbol;Acc:HGNC:1312],C22ORF7; PGS3; TPGS3,608955,"Involved in the post- translatio l polyglutamylation of tubulin in axonemal microtubules within cilia and flagella; this glutamylation is required to generate a curved cilia waveform. Essential for normal motility of respiratory ciliary and for the biogenesis and integrity of sperm flagella, as PCD phenotype is seen in KO mice (20442420).",cilia,19531357; 21262966; 25180231,NA,NA
TTLL3,ENSG00000214021,tubulin tyrosine ligase like 3 [Source:HGNC Symbol;Acc:HGNC:24483],DKFZP434B103; HOTTL,619195,Functions in posttranslatio l glycylation of microtubules. Required for either elongation or stability of axonemes (19531357). Depletion leads to shortening and loss of axonemes (21262966). Required for primary cilia formation and control of cell proliferation. Only glycylase expressed in colon (25180231).,"basal body, cilia",30120249; 24791901; 27162334; 28173158,NA,NA
TTLL5,ENSG00000119685,tubulin tyrosine ligase like 5 [Source:HGNC Symbol;Acc:HGNC:19963],KIAA0998; STAMP,612268,"Recruited by ARL13B and FIP5 (30120249). Higher activity initiating glutamate chains than elongating them. Required for RPGRORF15 function as it seems to be highly selective (27162334). Essential for the correct function of sperm flagella. It might also be responsible for the tubulin polyglutami tion in the microtubule triplets of the centrioles, increasing the centriole stability. Mutations have been identified as cause of recessive reti l dystrophy (24791901), and reduced sperm motility and infertility in humans (28173158).","cilia, basal body",21262966; 22246503; 23897886,NA,NA
TTLL6,ENSG00000170703,tubulin tyrosine ligase like 6 [Source:HGNC Symbol;Acc:HGNC:26664],FLJ35808,610849,"Main axonemal tubulin glutamylase of ciliated cells. Knockdown caused loss of axonemal glutamylation but not basal body glutamylation (21262966). Ciliary entry and distribution of TTLL6 is regulated by CEP41 (22246503). Critical in the regulation of axonemal motility and ciliary beating in ependymal cells, as it cannot be replaced by any of the other glutamylases (23897886).","cilia, basal body,flagella",19427864; 23897886; 25180231,NA,NA
TTLL8,ENSG00000138892,tubulin tyrosine ligase like 8 [Source:HGNC Symbol;Acc:HGNC:34000],NA,619193,"It may function in initiating glygylation modification by attaching the first glycine to tubulin. Interacts with TTLL10 and is required for TTLL10 efficient tubulin glycylation function (19427864). Redundant function with TTLL3, as both are unique monoglycylating enzymes in mammals. Required for stability and mainte nce of motile ependymal cilia. Absence of TTL3 leads to absence of glycylation on axonemes, destabilising motile ependymal cilia and resulting in ciliary disassembly (23897886, 25180231).",cilia,18586949; 20188560,NA,NA
TTLL9,ENSG00000131044,tubulin tyrosine ligase like 9 [Source:HGNC Symbol;Acc:HGNC:16118],C20ORF125; DJ310O13.1,619838,"伪-tubulin glutamylase required for the elongation of the polyglutamate side chains, and for the normal assembly and function of cilia (18586949, 20188560).","basal body,cilia",24375934; 28154160,NA,NA
TUB,ENSG00000166402,TUB bipartite transcription factor [Source:HGNC Symbol;Acc:HGNC:12406],RD5,601197,"Mutations have been associated with reti l and cochlear degeneration, as well as obesity (24375934). Function in ciliary GPCR trafficking in a similar way to TULP3 (28154160).","basal body, basal body",11516662,NA,NA
TUBA1A,ENSG00000167552,tubulin alpha 1a [Source:HGNC Symbol;Acc:HGNC:20766],B-ALPHA-1; FLJ25113; TUBA3,602529,"Alfa tubulin isoform. Component of the cytoskeleton, centrosomes and protofilaments, structures that associate laterally to form a microtubule.","basal body, cilia",11516662,NA,NA
TUBA1C,ENSG00000167553,tubulin alpha 1c [Source:HGNC Symbol;Acc:HGNC:20768],BCM948; MGC10851; MGC14580; TUBA6,NA,"Alfa tubulin isoform. Component of the cytoskeleton, centrosomes and protofilaments, structures that associate laterally to form a microtubule.","basal body, cilia",11516662,NA,NA
TUBA4A,ENSG00000127824,tubulin alpha 4a [Source:HGNC Symbol;Acc:HGNC:12407],FLJ30169; H2-ALPHA; TUBA1,191110,"Alfa tubulin isoform. Component of the cytoskeleton, centrosomes and protofilaments, structures that associate laterally to form a microtubule.","basal body, cilia",11516662,NA,NA
TUBB2A,ENSG00000137267,tubulin beta 2A class IIa [Source:HGNC Symbol;Acc:HGNC:12412],DJ40E16.7; TUBB; TUBB2,615101,"Beta tubulin isoform. Component of the cytoskeleton, centrosomes and protofilaments, structures that associate laterally to form a microtubule.","basal body,flagella,cilia",11516662,NA,NA
TUBB2B,ENSG00000137285,tubulin beta 2B class IIb [Source:HGNC Symbol;Acc:HGNC:30829],BA506K6.1; DKFZP566F223; MGC8685,612850,"Beta tubulin isoform. Component of the cytoskeleton, centrosomes and protofilaments, structures that associate laterally to form a microtubule.","basal body,flagella, cilia",11516662,NA,NA
TUBB3,ENSG00000258947,tubulin beta 3 class III [Source:HGNC Symbol;Acc:HGNC:20772],BETA-4; CFEOM3; CFEOM3A; FEOM3,602661,"Beta tubulin isoform. Component of the cytoskeleton, centrosomes and protofilaments, structures that associate laterally to form a microtubule.","cilia basal body,flagella",11516662; 29198720,NA,NA
TUBB4B,ENSG00000188229,tubulin beta 4B class IVb [Source:HGNC Symbol;Acc:HGNC:20771],BETA2; TUBB2C,602660,"Beta tubulin isoform. Component of the cytoskeleton, centrosomes and protofilaments, structures that associate laterally to form a microtubule. Mutations in TUBB4B Cause a Distinctive Sensorineural Disease of LCA with hearing loss","basal body,cilia",28906251; 11148142,NA,NA
TUBE1,ENSG00000074935,tubulin epsilon 1 [Source:HGNC Symbol;Acc:HGNC:20775],DJ142L7.2; FLJ22589; TUBE,607345,Interacts with delta-tubulin to form the triplet microtubules or to stabilize them against depolymerization (28906251). Function in the centriole lumen and on the cytoplasmic side is essential for the centriole-to- centrosome conversion. Depletion of TUBE1 affects microtubules biogenesis and reduces CEP44 recruitment to centrioles (11148142).,"basal body, basal body",29514869; 21725292,NA,NA
TUBGCP2,ENSG00000130640,tubulin gamma complex component 2 [Source:HGNC Symbol;Acc:HGNC:18599],ALP4; GCP2; HGCP2; SPBC97; SPC97P,617817,"Also known as GCP2. Gamma tubulin complex protein. These type of complexes of gamma-tubulin are used as templates for the longitudi l association with 伪/尾-tubulin dimers during the nucleation process (29514869). Component of gamma- tubulin small complexes that then associate with associate with GCP4, GCP5 and GCP6 to form ring complexes (21725292).","basal body, basal body",29514869; 21725292,Gamma-tubulin complex,NA
TUBGCP3,ENSG00000126216; ENSG00000282003,tubulin gamma complex component 3 [Source:HGNC Symbol;Acc:HGNC:18598],GCP3; SPBC98; SPC98P,617818,"Also known as GCP3. Gamma tubulin complex protein. These type of complexes of gamma-tubulin are used as templates for the longitudi l association with 伪/尾-tubulin dimers during the nucleation process (29514869). Component of gamma- tubulin small complexes that then associate with associate with GCP4, GCP5 and GCP6 to form ring complexes (21725292).","basal body, basal body",29514869; 21725292; 31209365; 32317396,Gamma-tubulin complex,NA
TUBGCP4,ENSG00000137822,tubulin gamma complex component 4 [Source:HGNC Symbol;Acc:HGNC:16691],76P; FLJ14797; GCP4,609610,"Also known as GCP4. Required for the initial assembly of gamma-tubulin ring complexes and for their stabilization after assembly. These complexes are used as templates for the longitudi l association with 伪/尾-tubulin dimers during the nucleation process (29514869, 32317396). Associates with gamma-tubulin small complexes, GCP5 and GCP6 (21725292). Mutations have been identified in patients with autosomal- recessive microcephaly and chorioretinopathy. Role in mainte nce of reti l homeostasis, through participating in assembly of gamma- TuRC (31209365).","basal body, basal body",29514869; 32317396; 21725292,Gamma-tubulin complex,NA
TUBGCP5,ENSG00000276856; ENSG00000280807; ENSG00000275835,tubulin gamma complex component 5 [Source:HGNC Symbol;Acc:HGNC:18600],GCP5; KIAA1899,608147,"Also known as GCP5. Required for the initial assembly of gamma-tubulin ring complexes and for their stabilization after assembly. These complexes are used as templates for the longitudi l association with 伪/尾-tubulin dimers during the nucleation process (29514869, 32317396). Associates with gamma-tubulin small complexes, GCP4 and GCP6 (21725292).","basal body, cilia , transition zone",29514869; 32317396; 21725292,Gamma-tubulin complex,NA
TUBGCP6,ENSG00000128159,tubulin gamma complex component 6 [Source:HGNC Symbol;Acc:HGNC:18127],DJ402G11.6; GCP6; KIAA1669,610053,"Also known as GCP6. Required for the initial assembly of gamma-tubulin ring complexes and for their stabilization after assembly. These complexes are used as templates for the longitudi l association with 伪/尾-tubulin dimers during the nucleation process (29514869, 32317396). Associates with gamma-tubulin small complexes, GCP4 and GCP5 (21725292).",cilia,33187986; 25074776; 9462750,Gamma-tubulin complex,NA
TULP1,ENSG00000112041,TUB like protein 1 [Source:HGNC Symbol;Acc:HGNC:12423],LCA15; RP14; TUBL1,602280,"Role in intracellular transport, cell differentiation, sig ling, and motility. Mutations result in progressive photoreceptor degeneration in mice and retinitis pigmentosa in humans (33187986, 25074776, 9462750).",cilia,33187986; 20889716; 28154160; 19286674; 30799240; 30583862,NA,NA
TULP3,ENSG00000078246,TUB like protein 3 [Source:HGNC Symbol;Acc:HGNC:12425],TUBL3,604730,"Role in intracellular transport, cell differentiation, sig ling, and motility (33187986). Associates with IFT-A in a complex to regulate trafficking and localisation of G protein-coupled receptors into cilia. Negative regulator of Hedgehog sig ling (20889716). Adapter for ciliary trafficking of membrane cargo; regulates PC1/2 complex trafficking (28154160). Required for proper Shh-dependent limb patterning, as it inhibits Gli2 activity (19286674). Essential for trafficking of Arl13b and INPP5E into cilia. Loss of function causes ciliopathy-associated polycystic kidney disease, downregulates the formation of cilia and their length (30799240, 30583862).","basal body, transition zone",27894351; 30851085; 31411728,NA,NA
TXNDC15,ENSG00000113621,thioredoxin domain containing 15 [Source:HGNC Symbol;Acc:HGNC:20652],2310047H23RIK; C5ORF14; FLJ22625,617778,"Mutated in patients with Meckel-Gruber syndrome (27894351, 30851085, 31411728). Loss of TXNDC15 prevented correct localization of the TMEM67 ciliary receptor to the transition zone (27894351).",basal body,29742019,NA,NA
UBR5,ENSG00000104517,ubiquitin protein ligase E3 component n-recognin 5 [Source:HGNC Symbol;Acc:HGNC:16806],DD5; EDD; EDD1; HYD; KIAA0896,608413,Positive regulator of ciliogenesis. Ubiquitylates CSPP1 and is required for cytoplasmic organisation of CSPP1-associated centriolar satellites in centrosomal periphery. Regulates ciliogenesis via mainte nce of centriolar satellite stability and CSPP1 localisation (29742019).,cilia,26389662,CEP78-DCAF1-DYRK2-UBR5 complex,Ubiquitin Proteasome
UBXN10,ENSG00000162543,UBX domain protein 10 [Source:HGNC Symbol;Acc:HGNC:26354],FLJ25429; UBXD3,616783,Facilitates recruitment of VCP to IFT-B. Interaction with VCP is required for UBXN10 ciliary localisation. Depletion of UBXN10 in zebrafish causes defects in left-right asymmetry (26389662).,cilia,21746835; 27445138,NA,NA
ULK4,ENSG00000168038,unc-51 like ki se 4 [Source:HGNC Symbol;Acc:HGNC:15784],FAM7C1; FLJ20574; REC01035,617010,"Hydrocephalus due to dysfunctio l motile cilia in KO mouse, suggesting it may be involved in the development and/or function of motile cilia in the respiratory tract and ependyma (21746835). Essential for Ciliogenesis and CSF Flow. Modulates expression of the master regulator of ciliogenesis, Foxj1,its target genes and other ciliogenesis molecules, influencing axoneme structure, basal body alignment, cilia number and beating. Implicated in ciliopathy-related disorders (27445138).","basal body , cilia",15029248; 20172860,NA,NA
UMOD,ENSG00000169344,uromodulin [Source:HGNC Symbol;Acc:HGNC:12559],NA,191845,"Mutations are responsible for medullary cystic kidney disease type 2 (15029248), familial juvenile hyperuricemic nephropathy and glomerulocystic kidney disease. Expressed in re l primary cilia. UMOD mutations result in decreased ciliary uromodulin expression and delayed ER to Golgi trafficking (20172860 ).",cilia,16464467; 12588794,NA,NA
USH1C,ENSG00000006611,USH1 protein network component harmonin [Source:HGNC Symbol;Acc:HGNC:12597],AIE-75; DFNB18; HARMONIN; NY-CO-37; NY-CO-38; PDZ-73; PDZ73; PDZD7C,605242,"Interacts with DOCK4 to regulate actin cytoskeleton organisation in stereocilia. Mutation are associated with Usher syndrome type 1c (16464467). Binds to myosin VIIa,cadherin 23 and F-actin (12588794).","basal body, cilia",12588794; 17923142; 21767579; 31637240,NA,NA
USH1G,ENSG00000182040,USH1 protein network component sans [Source:HGNC Symbol;Acc:HGNC:16356],ANKS4A; FLJ33924; SANS,607696,"Ciliopathy gene OMIM: 607696. Mutation are associated with Usher syndrome type 1g. Associates with harmonin and is involved in the functio l network formed through it (12588794). Required for outer segment differentiation, formation and mainte nce of reti  and photoreceptor cell polarity. Scaffold protein in the USH network during ciliogenesis, as dysfunction leads to reti l degeneration (17923142). Form a complex with myomegalin, cooperating in the vesicle transport towards the ciliary base of photoreceptor cells (21767579). Interacts directly with IFT-B proteins, IFT20, IFT52, IFT57, and IFT74; ISHG1 may control the transport of these molecules to the ciliary base (31637240).",cilia,10738000; 17360538; 18826961; 23351521,NA,NA
USH2A,ENSG00000042781,usherin [Source:HGNC Symbol;Acc:HGNC:12601],RP39; USH2,608400,"MIM: 608400 (10738000) Required for the long-term mainte nce of reti l photoreceptors (17360538). Interacts and colocalises with Nlp and lebercilin at the centrosome (18826961). Interacts with SPAG5 and NINL to regulate microtubule-based cytoplasmic trafficking of proteins required for ciliogenesis, mainte nce and/or function, to the apical inner segment and basal body of photoreceptor. Mutations are associated withnon- syndromic retinitis pigmentosa and Usher syndrome (23351521).",basal body,30388222,NA,NA
USP8,ENSG00000138592,ubiquitin specific peptidase 8 [Source:HGNC Symbol;Acc:HGNC:12631],HUMORF8; KIAA0055; SPG59; UBPY,603158,"Binds to, stabilises and deubiquiti tes HIF1伪 to control ciliogenesis, maintaining a basal expression of HIF1伪 (24378640). Recruited by SUMOylated Smo to antagonise Smo ubiquiti tion and degradation, leading to increased Hh pathway activity (27746045). USP8 phosphorylation by EGFR is essential for suppression of ciliogenesis, indicating that mutations or lack of USP8 function may cause ciliopathies through elongation of primary cilia (29472535).",basal body,28498859; 30584065; 31671755,NA,Ubiquitin Proteasome
USP9X,ENSG00000124486,ubiquitin specific peptidase 9 X-linked [Source:HGNC Symbol;Acc:HGNC:12632],DFFRX; FAF; FAF-X; MRX99,300072,"Deubiquiti ting enzyme localised to centrosome, involved in context-dependent ciliogenesis. Regulates level of ubiquiti tion of NPHP5 to control ciliogenesis. In the G0/G1/S phase, USP9X is recruited to the centrosome by NPHP5, and later protects NPHP5 from ubiquiti tion, promoting cilia assembly. In the G2/M phase, USP9X dissociates from the centrosome allowing BBS11 to K63 ubiquiti te NPHP5, triggering loss of cilia. Works with two E3 ubiquitin ligases BBS11/TRIM32 and MARCHF7 (28498859). Binds and stabilises PCM1 to prevent its degradation and regulate centriolar satellite integrity. Regulates centrosome duplication (30584065). During Serum- Starvation-Induced Ciliogenesis, it is recruited by SNX17 to antagonize MIB1- Mediated Ubiquiti tion and Degradation of PCM1 (31671755).","basal body, cilia",20643117; 23406901; 27571019,NA,Ubiquitin Proteasome
VANGL2,ENSG00000162738,VANGL pla r cell polarity protein 2 [Source:HGNC Symbol;Acc:HGNC:15511],KIAA1215; LPP1; LTAP; MGC119403; MGC119404; STB1; STBM; STBM1,600533,"Pla r cell polarity protein, equired for Kupffer's vesicle function and establishment of asymmetry. Interacts with BBS8 to establish and maintain the left鈥搑ight asymmetry during early embryogenesis in zebrafish. Required for nuclear positioning, centrosome migration and regulation of the number and length of cilia (20643117). Cooperates with cofilin to target Rab11+ vesicles containing pla r pla r cell polarity proteins to the apical membrane (23406901). Interacts with Arl13b to regulate cilia and photoreceptor outer segment length in Zebrafish. Mutations cause neural tube defects (27571019).",cilia,26389662,NA,NA
VCP,ENSG00000165280,valosin containing protein [Source:HGNC Symbol;Acc:HGNC:12666],CDC48; IBMPFD; P97; TERA,601023,Regulator of protein quality control and ubiquitin-mediated sig ling. Interacts wiith UBXN10 to control its localisation to cilia. VCP and UBXN10 interaction is also required for ciliogenesis and mainte nce of cilia (26389662).,"cilia, basal body , transition zone",11507092; 23388454; 26264029,NA,NA
VDAC3,ENSG00000078668,voltage dependent anion channel 3 [Source:HGNC Symbol;Acc:HGNC:12674],HD-VDAC3,610029,"Required for the mainte nce of axonemes of sperm; absence of VDAC3 in the mouse leads to defective axonemal structures in sperm and immotility (11507092). Modulates centriole assembly by recruites Mps1 to centrosomes. VDAC3-Mps1 interaction promotes ciliary disassembly during cell cycle entry and prevents cilia assembly in proliferating cells (23388454, 26264029).",cilia,17450132; 17825299; 17912253; 16775032; 16849532; 17101696; 23255108,NA,NA
VHL,ENSG00000134086,von Hippel-Lindau tumor suppressor [Source:HGNC Symbol;Acc:HGNC:12687],VHL1,608537,"MIM: 193300, MIM: 144700, MIM: 171300, MIM: 263400; Somatic i ctivation of VHL causes re l and pancreatic cysts associated with cilia loss. Stabilises microtubule dy mics in the axoneme (17450132). Interacts with KIF3A and kinesin鈥",cilia,29572244,NA,NA
VPS45,ENSG00000136631,vacuolar protein sorting 45 homolog [Source:HGNC Symbol;Acc:HGNC:14579],H-VPS45; H1; VPS45A; VPS45B,610035,"Regulates cilium length and morphology, ciliary and preciliary membrane volume. Interacts with RABS-5 to control periciliary vesicle number, levels of polycystin- 2, fusion and maturation of specific cilium-derived endocytic vesicles and early endosomes (29572244).","basal body, transition zone",29463826; 33186545,NA,NA
VPS4A,ENSG00000132612,vacuolar protein sorting 4 homolog A [Source:HGNC Symbol;Acc:HGNC:13488],FLJ22197; SKD1; SKD1A; SKD2; VPS4; VPS4-1,609982,"Dy mic component of both centrioles. Regulates centrosome localisation and levels of gamma-tubulin, centriolar satellite stability and ciliogenesis. Rssential for activation of membrane remodeling during cilium extention. Depletion alters centrosome numbers and size (29463826).De Novo VPS4A Mutations Cause Multisystem Disease with Abnormal Neurodevelopment, with mutations affecting Mutations affected other ESCRT-dependent cellular processes, including regulation of centrosome number, primary cilium morphology, nuclear membrane morphology, chromosome segregation, mitotic spindle formation, and cell cycle progression (33186545)",basal body,32312818,NA,NA
WASF3,ENSG00000132970,WASP family member 3 [Source:HGNC Symbol;Acc:HGNC:12734],KIAA0900; SCAR3; WAVE3,605068,Arp2/3 complex activator. PCARE and WASF3 regulate ciliary F-actin assembly that is required for the initiation of photoreceptor outer segment disk formation (32312818),"cilia , transition zone, basal body",24302887; 28001338; 33598458; 32055034,NA,NA
WDPCP,ENSG00000143951,WD repeat containing pla r cell polarity effector [Source:HGNC Symbol;Acc:HGNC:28027],BBS15; C2ORF86; CPLANE5; FRITZ; HFRTZ,613580,"MIM: 613580. Also known as C2ORF86, BBS15 or FRITZ. Regulates pla r cell polarity through the modulation of the actin cytoskeleton. Required for recruitment of proteins essential for ciliogenesis to the transition zone, including Sept2, Nphp1, and Mks1, and facilitates the assembly of multiprotein complexes. Mutations have been associated with Bardet-Biedl and and Meckel-Gruber syndromes (24302887; 32055034). Knockdown leads to fewer and shorter cilia and decreses the expression of Septin7 in human  sal epithelium, indication that Septin7 could be a target of WDPCP (28001338). Regulates cilia function and beating through activation of MAPK/ERK pathway in the mitochondria of sino sal epithelial cells (33598458).",cilia,29263200,NA,NA
WDR11,ENSG00000120008,WD repeat domain 11 [Source:HGNC Symbol;Acc:HGNC:13831],BRWD2; DR11; FLJ10506; HH14; KIAA1351; SRI1; WDR15,606417,"Modulates the Hedgehog (Hh) sig lling pathway and is essential for ciliogenesis. It may be required for cilia extension and growth. Interacts with ciliary components involved in human ciliopathies such as BBSomes and IFT proteins. Shuttles between cilium and nucleus in response to Shh sig lling. Implicated in congenital hypogo dotropic hypogo dism (CHH) and Kallmann syndrome (KS), characterised by delayed puberty and infertility (29263200).","cilia, flagella,basal body",16957054; 22019273; 24504730; 29134781; 23339108; 23559409; 32323121,EMX1-GLI3-WDR11 complex,NA
WDR19,ENSG00000157796,WD repeat domain 19 [Source:HGNC Symbol;Acc:HGNC:18340],CFAP66; DYF-2; FAP66; FLJ23127; IFT144; KIAA1638; NPHP13; ORF26; OSEG6; PWDMP,608151,"Also known as IFT144. Retrograde IFT-A protein. Ortholog of C.elegans DYF-2 (16957054). Mutations are associated with a broad spectrum of ciliopathies (24504730) including nephronophthisis, Jeune syndrome (22019273), Sensenbrenner syndrome (29134781), asphyxiating thoracic dysplasia (23339108), reti l dystrophies and Caroli desease (23559409). Mutations can also cause disorganization of microtubules in sperm flagella and nonsyndromic asthenoteratospermia (32323121)","basal body, cilia  basal body",24183451; 24183449; 30649997; 25205765; 24183451; 28379358; 30320547; 30649997,Intraflagellar transport complex A,NA
WDR35,ENSG00000118965,WD repeat domain 35 [Source:HGNC Symbol;Acc:HGNC:29250],CFAP118; FAP118; IFT121; IFTA1; KIAA1336; MGC33196,613602,"IFT121. IFT complex A component, endogenous WDR35 localizes to cilia and centrosomes throughout the developing embryo and human and mouse fibroblasts lacking the protein fail to produce cilia. Human and mouse homozygouse mutations in WDR35 cause ciliopathy short-rib polydactyly syndrome (22987818). Heterozygous mutations shown to cause cranioectodermal dysplasia-2. OMIM:613602. Interacts with RagA, mTORC1 activator (30570184)",cilia,31204173; 31665227,Intraflagellar transport complex A,NA
WDR44,ENSG00000131725,WD repeat domain 44 [Source:HGNC Symbol;Acc:HGNC:30512],DKFZP686L20145; RAB11BP; RPH11; SYM-4,301070,"Rab11 binding protein, negatively regulates ciliogenesis. Akt phosphorylates WDR44 at Ser342/344 to stabilise it and increase its binding to Rab11, which prevents ciliogenesis. WDR44 depletion promotes binding of Rab11a to Rabin8, which leads to preciliary trafficking and ciliogenesis- initiating events at the mother centriole. Disruption of Akt sig ling causes a switch from Rab11-WDR44 to the Rab11-FIP3-Rabin8 complex which promotes ciliogenesis(31204173) Endosomal protein phosphorylated by Akt at Ser346 (31665227)","basal body, cilia",30205038; 30377171,NA,NA
WDR5,ENSG00000196363,WD repeat domain 5 [Source:HGNC Symbol;Acc:HGNC:12757],BIG-3; CFAP89; SWD3,609012,Stabilizes actin architecture to promote multiciliated cell formation (30205038). Regulates FOXJ1 expression to control ciliogenesis at the node and LR patterning. De novo change in patient with CHD and heterotaxy (30377171),basal body,22326026; 25205765; 25830415; 29742051; 30320547; 30649997; 31451806,NA,NA
WDR62,ENSG00000075702,WD repeat domain 62 [Source:HGNC Symbol;Acc:HGNC:24502],C19ORF14; DKFZP434J046; FLJ33298; MCPH2,613583,"Truncating, frameshift or missense mutations cause primary autosomal recessive microcephaly type 2 (OMIM:613583). A WDR62- CEP170-KIF2A pathway promotes cilium disassembly in neural progenitors (31197141). WDR62 ablation leads to retarded cilium disassembly, long cilium, and delayed cell cycle progression leading to decreased proliferation and premature differentiation of neural progenitor cells (31197141). Localises to mitotic spindle poles with paralog MAPKBP1 (28089251). Localises to the basal body. MIssense mutants localise to basal body but fail to recruit CPAP and IFT88 (31816041)","flagella, cilia,  basal body",9843573; 24080090; 30060180; 29285825; 29285825; 32128961,NA,NA
WDR90,ENSG00000161996,WD repeat domain 90 [Source:HGNC Symbol;Acc:HGNC:26960],C16ORF15; C16ORF16; C16ORF17; C16ORF18; C16ORF19; FLJ36483; KIAA1924; POC16,618290,"POC16 in Chlamydomo s, localises to the central core region of the centriole in Chlamydomo s, which correlates with the region of tubulin glutamylation in humans. Recruited after the cartwheel protein CrSAS-6 and before tubulin glutamylation. Localizes to mother and daughter centrioles in human RPE1 cells and is required for ciliogenesis (28781053)",basal body,26912790; 29743191; 30428028; 31116681,NA,NA
WHRN,ENSG00000095397,whirlin [Source:HGNC Symbol;Acc:HGNC:16361],CIP98; DFNB31; PDZD7B; USH2D,607928,"DFNB31/whirlin. PDZ scaffold protein. Mutated in autosomal recessive non-syndromic deafness type 31 (12833159) and Usher syndrome type 2D (PMID:17171570) in humans (OMIM 607928). Only the whirlin long isoform (with an additio l N-termi l PDZ domain) is expressed in the reti , the reti  is affected if this extra PDZ domain is mutated (20502675). Localises to the tiip of the ssterocilium of the cochlear hair cell (15590698). Interacts directly with USH2A and VLGR1 in the connecting cilium of photoreceptor cells (16434480). Colocalizes with MPP1 in the reti  at the outer limiting membrane, at the outer sy ptic layer and at the basal bodies and the ciliary axoneme of the connecting cilium of the photoreceptors (17584769). Interacts with L-type calcium channel subunit Ca(v)1.3 (alpha(1D) at synpase in reti  (19959638). Interacts with RPGR(ORF15) in the photoreceptors (22323458)",basal body,26675238,NA,NA
WRAP73,ENSG00000116213,"WD repeat containing, antisense to TP73 [Source:HGNC Symbol;Acc:HGNC:12759]",WDR8,606040,WDR8. Centriolar satellite and centriole-associated protein. Interacts with centriolar satellite proteins SSX2IP and PCM1 and centriolar proximal end component Cep135. Promotes ciliary vesicle docking during ciliogenesis. (26675238).,basal body,20179356,NA,NA
ZIC2,ENSG00000043355,Zic family member 2 [Source:HGNC Symbol;Acc:HGNC:12873],HPE5,603073,"Transcription factor. Directs the formation and function of node cilia to control cardiac situs in mice. Component of the gene regulatory network that drives ciliation of node cells during gastrulation in mice. 24585447 Contributes to establishment of LR asymmetry by regulating left-sided nodal expression in mice 29992973. Involved in dorsal neural tube formation in zebrafish and mice, downregulated in zebrafish Rfx4 mutants (29243319). Heterozygous frameshift mutations cause holoprosenchephaly in humans (OMIM: 603073).","basal body,cilia",23891471; 23891469; 29601588; 29916806,NA,Transcription factors
ZMYND10,ENSG00000004838,zinc finger MYND-type containing 10 [Source:HGNC Symbol;Acc:HGNC:19412],BLU; CILD22; D AF7,607070,"Recessive biallelic mutations in ZMYND10 cause a form of PCD in which patients lack inner dynein arms and outer dynein arms and lack axonemal protein components D H5 and D LI1 from respiratory cilia (CILD22, OMIM:63395) (23891469). Interacts with LRCC6, also a cause of PCD (CILD19, OMIM:614930). LRRC6 mutations abrogate the interaction between the LRRC6 CS domain and the ZMYND10 C-termi l domain (23891469). Colocalizes with SAS6 and PCM at the centriole in rat trachea (23891469). Stabilizes intermediate chain proteins in the cytoplasmic pre-assembly of dynein arms (29601588). Functions in a chaperone relay during axonemal dynein assembly (29916806)",basal body,22863007; 17151198; 28893945,"ZMYND10 complex, cytoplasmic",NA
AAAS,ENSG00000291836; ENSG00000094914,aladin WD repeat nucleoporin [Source:HGNC Symbol;Acc:HGNC:13666],NA,605378,AAAS has localized in flagella.,flagella,https://www.proteinatlas.org/,NA,NA
